,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
0,71.0,Left_Hand,,Australia,17-Nov-75,,,182,LA Carseldine,81.0,114.08,0
1,159.0,Right_Hand,,England,26-May-76,,,241,PD Collingwood,203.0,127.67,0
2,26.0,Right_Hand,,India,25-Oct-89,,,244,A Mithun,34.0,130.77,0
3,23.0,Right_Hand,,India,9-Oct-87,,,245,AP Dole,34.0,147.83,0
4,27.0,Right_Hand,,India,5-Nov-88,,,246,AN Ahmed,36.0,133.33,0
5,201.0,Right_Hand,,Australia,20-Oct-91,,,253,MR Marsh,225.0,111.94,0
6,299.0,Right_Hand,,Australia,4-May-83,,,258,DT Christian,341.0,114.05,0
7,31.0,Right_Hand,,India,18-Dec-86,,,264,Sunny Singh,43.0,138.71,0
8,17.0,Right_Hand,,South Africa,10-Jan-78,,,268,JJ van der Wath,18.0,105.88,0
9,9.0,Right_Hand,,West Indies,30-Jun-88,,,240,KAJ Roach,10.0,111.11,0
10,19.0,Left_Hand,,India,8-Apr-84,,,270,S Aravind,27.0,142.11,0
11,309.0,Left_Hand,,New Zealand,7-Nov-80,,,275,JEC Franklin,321.0,103.88,0
12,142.0,Left_Hand,,India,22-Jun-83,,,277,DH Yagnik,170.0,119.72,0
13,23.0,Right_Hand,,New Zealand,1-Sep-80,,,281,NL McCullum,26.0,113.04,0
14,27.0,Left_Hand,,India,3-Jun-83,,,283,J Syed Mohammad,29.0,107.41,0
15,238.0,Right_Hand,,Netherlands,30-Jun-80,,,284,RN ten Doeschate,326.0,136.97,0
16,59.0,Left_Hand,,Australia,9-Dec-81,,,285,TR Birt,75.0,127.12,0
17,91.0,Left_Hand,,Australia,27-Jun-84,,,289,AC Blizzard,120.0,131.87,0
18,11.0,Left_Hand,,India,28-Oct-85,,,297,AA Chavan,12.0,109.09,0
19,19.0,Right_Hand,,England,9-Feb-77,,,274,AC Thomas,20.0,105.26,0
20,213.0,Right_Hand,,India,9-Feb-84,,,231,MD Mishra,237.0,111.27,0
21,143.0,Right_Hand,,Australia,4-Oct-79,,,230,AC Voges,181.0,126.57,0
22,179.0,Left_Hand,,India,7-Sep-85,,,229,FY Fazal,183.0,102.23,0
23,3.0,Right_Hand,,Sri Lanka,19-Jul-79,,,149,CRD Fernando,4.0,133.33,0
24,64.0,Right_Hand,,India,20-May-78,,,153,RR Powar,67.0,104.69,0
25,57.0,Right_Hand,,England,6-Dec-77,,,155,A Flintoff,62.0,108.77,0
26,17.0,Right_Hand,,India,8-Oct-87,,,164,R Bishnoi,19.0,111.76,0
27,243.0,Left_Hand,,India,23-Oct-87,,,166,KV Sharma,268.0,110.29,0
28,172.0,Right_Hand,,India,3-Mar-87,,,169,AS Raut,194.0,112.79,0
29,118.0,Left_Hand,,New Zealand,27-Jan-79,,,175,DL Vettori,121.0,102.54,0
30,135.0,Right_Hand,,South Africa,20-Mar-79,,,176,MN van Wyk,167.0,123.7,0
31,144.0,Right_Hand,,South Africa,31-Dec-84,,,177,RE van der Merwe,159.0,110.42,0
32,13.0,Right_Hand,,South Africa,9-Oct-83,,,428,F Behardien,14.0,107.69,0
33,112.0,Right_Hand,,Australia,11-Oct-79,,,188,RJ Harris,117.0,104.46,0
34,93.0,Left_Hand,,South Africa,6-Oct-84,,,190,M Morkel,126.0,135.48,0
35,103.0,Right_Hand,,Australia,5-Jun-81,,,198,AB McDonald,123.0,119.42,0
36,271.0,Right_Hand,,India,6-Jan-90,,,199,Y Nagar,285.0,105.17,0
37,260.0,Right_Hand,,India,7-Nov-87,,,207,AP Tare,321.0,123.46,0
38,236.0,Right_Hand,,India,14-Jan-81,,,209,R Sathish,270.0,114.41,0
39,25.0,Right_Hand,,South Africa,2-Oct-77,,,217,JM Kemp,26.0,104.0,0
40,198.0,Left_Hand,,England,12-Feb-80,,,224,MJ Lumb,278.0,140.4,0
41,29.0,Left_Hand,,India,16-Apr-82,,,226,S Narwal,37.0,127.59,0
42,18.0,Right_Hand,,India,25-Aug-84,,,300,Y Gnaneswara Rao,19.0,105.56,0
43,92.0,Right_Hand,,India,6-May-87,,,148,SD Chitnis,99.0,107.61,0
44,82.0,Right_Hand,,India,18-Sep-84,,,301,S Rana,91.0,110.98,0
45,38.0,Right_Hand,,India,23-Nov-90,,,311,HV Patel,47.0,123.68,0
46,32.0,Right_Hand,,West Indies,5-Nov-91,,,391,JO Holder,38.0,118.75,0
47,224.0,Right_Hand,,India,19-Apr-95,,,394,DJ Hooda,295.0,131.7,0
48,13.0,Right_Hand,,New Zealand,29-Feb-92,,,397,SA Abbott,15.0,115.38,0
49,33.0,Left_Hand,,India,16-Jan-94,,,398,J Suchith,48.0,145.45,0
50,134.0,Right_Hand,,India,11-Oct-93,,,400,HH Pandya,156.0,116.42,0
51,94.0,Right_Hand,,South Africa,18-May-85,,,401,D Wiese,127.0,135.11,0
52,6.0,Right_Hand,,India,16-Oct-91,,,406,SN Thakur,7.0,116.67,0
53,189.0,Right_Hand,,England,8-Sep-90,,,407,JC Buttler,255.0,134.92,0
54,13.0,Left_Hand,,India,20-May-93,,,390,R Tewatia,16.0,123.08,0
55,111.0,Right_Hand,,Australia,16-Aug-89,,,409,MP Stoinis,146.0,131.53,0
56,13.0,Right_Hand,,India,21-Aug-85,,,412,P Sahu,19.0,146.15,0
57,55.0,Right_Hand,,New Zealand,30-Sep-86,,,415,MJ Guptill,57.0,103.64,0
58,42.0,Left_Hand,,Australia,29-Dec-93,,,417,TM Head,54.0,128.57,0
59,155.0,Left_Hand,,India,4-Oct-97,,,420,RR Pant,198.0,127.74,0
60,66.0,Right_Hand,,England,15-Jun-91,,,421,SW Billings,88.0,133.33,0
61,11.0,Right_Hand,,India,13-Apr-94,,,422,KC Cariappa,13.0,118.18,0
62,105.0,Left_Hand,,Australia,18-Dec-86,,,426,UT Khawaja,127.0,120.95,0
63,122.0,Right_Hand,,South Africa,31-Mar-83,,,427,HM Amla,157.0,128.69,0
64,41.0,Left_Hand,,India,18-Jul-98,,,410,Ishan Kishan,42.0,102.44,0
65,26.0,Left_Hand,,India,23-Nov-94,,,384,VH Zol,29.0,111.54,0
66,51.0,Left_Hand,,South Africa,9-Oct-89,,,380,RR Rossouw,53.0,103.92,0
67,36.0,Left_Hand,,Australia,11-Mar-87,,,379,BR Dunk,40.0,111.11,0
68,9.0,Right_Hand,,New Zealand,28-Sep-90,,,312,DAJ Bracewell,12.0,133.33,0
69,103.0,Right_Hand,,Australia,31-Dec-79,,,313,DJ Harris,111.0,107.77,0
70,53.0,Left_Hand,,India,20-Apr-91,,,314,Ankit Sharma,62.0,116.98,0
71,170.0,Left_Hand,,India,6-Jan-93,,,322,P Negi,209.0,122.94,0
72,196.0,Right_Hand,,India,24-Feb-91,,,325,A Ashish Reddy,280.0,142.86,0
73,116.0,Right_Hand,,India,14-Dec-88,,,327,BB Samantray,125.0,107.76,0
74,96.0,Right_Hand,,Australia,2-Apr-81,,,328,MJ Clarke,98.0,102.08,0
75,280.0,Right_Hand,,India,29-Jun-90,,,329,Gurkeerat Singh,342.0,122.14,0
76,77.0,Right_Hand,,India,30-Apr-84,,,330,AP Majumdar,87.0,112.99,0
77,9.0,Right_Hand,,India,18-Jun-86,,,332,K Upadhyay,12.0,133.33,0
78,85.0,Right_Hand,,Australia,10-Apr-90,,,336,CA Lynn,89.0,104.71,0
79,13.0,Left_Hand,,Sri Lanka,17-Aug-90,,,341,MDKJ Perera,14.0,107.69,0
80,146.0,Left_Hand,,Australia,26-Mar-81,,,353,BJ Rohrer,193.0,132.19,0
81,135.0,Right_Hand,,India,19-Feb-90,,,356,R Dhawan,153.0,113.33,0
82,158.0,Right_Hand,,India,8-Mar-86,,,360,CM Gautam,169.0,106.96,0
83,251.0,Right_Hand,,West Indies,20-Dec-83,,,362,DJG Sammy,295.0,117.53,0
84,53.0,Right_Hand,,India,18-Sep-88,,,364,MM Sharma,61.0,115.09,0
85,89.0,Left_Hand,,India,18-Dec-88,,,369,Sachin Baby,122.0,137.08,0
86,33.0,Right_Hand,,New Zealand,11-Dec-88,,,377,TG Southee,47.0,142.42,0
87,74.0,Right_Hand,,South Africa,14-Jan-88,,,304,RE Levi,83.0,112.16,0
88,79.0,Left_Hand,,India,2-Dec-89,,,140,Iqbal Abdulla,83.0,105.06,0
89,78.0,Left_Hand,,India,27-Dec-93,,,431,N Rana,104.0,133.33,0
90,3.0,Right_Hand,,India,17-Sep-84,,,78,VRV Singh,4.0,133.33,0
91,124.0,Right_Hand,,India,7-Sep-84,,,90,MF Maharoof,177.0,142.74,0
